,x,y
205,0.9243951,0.9390902
206,0.9268486,0.94010854
207,0.9269486,0.941509
208,0.92684346,0.9419213
209,0.92677206,0.9396651
210,0.92306125,0.9383274
211,0.92622197,0.9402359
212,0.9246008,0.9379444
213,0.9268743,0.9424028
214,0.92298454,0.9374358
215,0.9251155,0.94008136
216,0.92261666,0.9402166
217,0.9254169,0.940791
218,0.9238013,0.9401279
219,0.92426234,0.9381994
220,0.924873,0.9372734
221,0.92255014,0.9373893
222,0.9250792,0.9373555
223,0.9249476,0.94214535
224,0.92435145,0.9391398
225,0.92426276,0.9398197
226,0.9269217,0.9425713
227,0.9252701,0.9391987
228,0.9241014,0.93917185
229,0.9269249,0.94131094
230,0.9245313,0.9402802
231,0.9272149,0.93915135
232,0.92201227,0.94026786
233,0.9289823,0.93888974
234,0.92392725,0.9380171
235,0.92566544,0.93839663
236,0.9271676,0.940018
237,0.92390454,0.9377096
238,0.92630255,0.9389819
239,0.9237549,0.9387038
240,0.9235446,0.9362476
241,0.9252192,0.9380629
242,0.9231556,0.9394783
243,0.9259418,0.94085723
244,0.92330366,0.938427
245,0.92364013,0.93881315
246,0.92232776,0.93642485
247,0.9261085,0.939398
248,0.9255808,0.9374856
249,0.9241914,0.9367923
250,0.9225227,0.9389903
251,0.92308784,0.9375844
252,0.922569,0.9373275
253,0.9259826,0.9406081
254,0.92494035,0.93812513
255,0.9238923,0.9382922
256,0.92369914,0.9376608
257,0.924452,0.9384568
258,0.92747706,0.9398786
259,0.92535156,0.9409539
260,0.9261334,0.93791956
261,0.92225933,0.9374367
262,0.92565036,0.93735516
263,0.92598355,0.94086474
264,0.9258205,0.9392637
265,0.92185354,0.9350849
266,0.9266438,0.93778974
267,0.9262998,0.93970263
268,0.9276474,0.94087994
269,0.92756057,0.9383773
270,0.9234732,0.93689966
271,0.92635584,0.94010943
272,0.9248693,0.93838537
273,0.92435217,0.938006
274,0.9233916,0.93988824
275,0.923246,0.9370776
276,0.92435503,0.9399957
277,0.9244984,0.9388282
278,0.9237245,0.9402447
279,0.9252002,0.93949455
280,0.925982,0.9423286
281,0.92678875,0.93983316
282,0.9240895,0.94012034
283,0.92132926,0.94054586
284,0.92534465,0.9389694
285,0.9249003,0.93758994
286,0.92541075,0.9386685
287,0.9279662,0.9418901
288,0.9274836,0.9406333
289,0.9241614,0.9375534
290,0.92432135,0.9375089
291,0.9244992,0.9381371
292,0.9257633,0.94033813
293,0.9243576,0.93843484
294,0.9238576,0.9370197
295,0.9264242,0.94157356
296,0.9260633,0.9377131
297,0.92845505,0.94154924
298,0.9267859,0.93959075
299,0.9232102,0.93649375
300,0.9259135,0.9411412
301,0.92371595,0.93664753
302,0.9265652,0.9416591
303,0.92394614,0.9376228
304,0.9258937,0.9383133
305,0.92764026,0.9418684
306,0.9239009,0.9391091
307,0.92299044,0.9368157
308,0.9238041,0.93925494
309,0.9252943,0.94028324
310,0.9231752,0.93893546
311,0.9266612,0.94215935
312,0.92488956,0.9371051
313,0.92491895,0.9414118
314,0.9228826,0.9367215
315,0.92484534,0.938636
316,0.92492986,0.9397899
317,0.92244744,0.9359343
318,0.92413074,0.9382769
319,0.92666346,0.93876374
320,0.92442095,0.940701
321,0.9227888,0.93617237
322,0.92335945,0.93911666
323,0.9231755,0.935964
324,0.9256311,0.9374351
325,0.9242429,0.9395583
326,0.92554104,0.9381522
327,0.92362744,0.9400045
328,0.9254093,0.9374099
329,0.92225313,0.93659234
330,0.9249294,0.94061935
331,0.9222938,0.9371518
332,0.9246181,0.9398833
333,0.92432696,0.9389005
334,0.9237848,0.9388877
335,0.9266657,0.9370147
336,0.9224331,0.9383684
337,0.92363346,0.9358778
338,0.9242613,0.93739223
339,0.92407787,0.93705654
340,0.9240398,0.93789804
341,0.925595,0.9367309
342,0.9244148,0.93888766
343,0.9263748,0.9427001
344,0.92470115,0.9398948
345,0.92746836,0.9415647
346,0.9249598,0.9420438
347,0.92546314,0.9373034
348,0.92469835,0.940724
349,0.9241359,0.93808126
350,0.9247973,0.93988425
351,0.9235825,0.9378059
352,0.92475003,0.9404624
353,0.9253489,0.9395551
354,0.9239251,0.93861073
355,0.9138858,0.93840355
356,0.92343855,0.93951803
357,0.92501014,0.94005597
358,0.92594767,0.9380063
359,0.9228154,0.9379537
360,0.9258367,0.93796474
361,0.9264681,0.9382881
362,0.9240088,0.93729246
363,0.9249799,0.9371209
364,0.9265109,0.9416826
365,0.9247239,0.94089115
366,0.9257785,0.94038767
367,0.92477256,0.9374572
368,0.9241311,0.9406757
369,0.92469376,0.941155
370,0.925258,0.9373693
371,0.92379415,0.93921024
372,0.92773986,0.94059265
373,0.92767256,0.9415442
374,0.9202085,0.9409838
375,0.92551285,0.94106454
376,0.925777,0.9406554
377,0.9235518,0.937389
378,0.92468905,0.9403293
379,0.9255347,0.9377668
380,0.92817265,0.9389615
381,0.9242281,0.9394614
382,0.92726177,0.93949205
383,0.92413,0.9397877
384,0.9287545,0.93889034
385,0.9236846,0.9365479
386,0.9268205,0.9420136
387,0.9253485,0.9386832
388,0.92485696,0.939442
389,0.9274765,0.9402576
390,0.9251588,0.9419359
391,0.92447615,0.9385136
392,0.9261559,0.9403926
393,0.92228115,0.94077855
394,0.9243139,0.9395191
395,0.9253937,0.93776345
396,0.9273314,0.9387648
397,0.9253464,0.93883353
398,0.9244405,0.9394259
399,0.9238353,0.9376452
400,0.92341524,0.94012326
401,0.9263037,0.94095886
402,0.92409486,0.9368491
403,0.92428213,0.9377057
404,0.92533106,0.9386671
405,0.92526084,0.9371626
406,0.92465144,0.9406472
407,0.9262967,0.9426606
408,0.92637897,0.94127107
409,0.92543733,0.93781847
410,0.92381936,0.93805486
411,0.9232622,0.93673927
412,0.9236506,0.9352448
413,0.924934,0.9408104
414,0.92652833,0.9400752
415,0.92347807,0.936181
416,0.92385966,0.9397894
417,0.92775935,0.93967676
418,0.9270318,0.93983275
419,0.9235309,0.93632513
420,0.9253745,0.9409003
421,0.92428154,0.93995315
422,0.9246358,0.9379375
423,0.9252011,0.9382455
424,0.9252498,0.93986857
425,0.92795026,0.94159186
426,0.9249306,0.94072074
427,0.9260833,0.9400669
428,0.92498475,0.9400298
429,0.9271803,0.9387395
430,0.92181516,0.9358492
431,0.92591363,0.9383278
432,0.92525846,0.9391625
433,0.92603564,0.94010854
434,0.9241533,0.93855083
435,0.92604715,0.93848836
436,0.92544264,0.9404499
437,0.92311406,0.9377241
438,0.9224082,0.9367631
439,0.9248079,0.94100195
440,0.9249162,0.94084036
441,0.9244987,0.93709934
442,0.9226103,0.9369981
443,0.9250923,0.9409146
444,0.92239726,0.93759805
445,0.9236824,0.9371675
446,0.9229225,0.9373864
447,0.9252498,0.94153017
448,0.9245418,0.9400926
449,0.92543846,0.9368275
450,0.9268073,0.94178206
451,0.9249622,0.9394347
452,0.92444277,0.93735045
453,0.925876,0.93985444
454,0.9272055,0.93924886
455,0.9237616,0.9368167
456,0.92609304,0.9406576
