,x,y
71,0.32992762,0.45025736
72,0.21848942,0.6448144
73,0.43579167,0.31713122
74,0.25403625,0.52402925
75,0.20553775,0.6861405
76,0.44696233,0.27515602
77,0.47901788,0.20025308
78,0.5051199,0.21646054
79,0.25508666,0.5684207
80,0.30306867,0.52507335
81,0.51055515,0.20494363
82,0.2717353,0.49358225
83,0.44515595,0.28697127
84,0.59561247,0.16413017
85,0.3374662,0.27697375
86,0.30044547,0.38158408
87,0.41478482,0.31730187
88,0.44876564,0.2774195
89,0.23106246,0.6114997
90,0.2598506,0.56855315
91,0.3959527,0.24141936
92,0.48767564,0.21917553
93,0.28901055,0.44466954
94,0.27971697,0.49074095
95,0.5153038,0.21231356
96,0.33775946,0.49241197
97,0.3614508,0.31707048
98,0.4170999,0.2808385
99,0.4248973,0.30946305
100,0.34521446,0.38075316
101,0.31062025,0.57725734
102,0.24400282,0.49040082
103,0.37719157,0.32360816
104,0.27601197,0.50477785
105,0.24225001,0.534919
106,0.20185544,0.57026845
107,0.2906388,0.41085076
108,0.25987267,0.44232404
109,0.2839604,0.53880763
110,0.29183447,0.57624286
111,0.3736148,0.28111574
112,0.30274087,0.48334047
113,0.29023224,0.49419174
114,0.31905776,0.40528944
115,0.18273817,0.61916727
116,0.48657706,0.24166936
117,0.24530295,0.58287686
118,0.20167956,0.61575735
119,0.23033704,0.61108476
120,0.239788,0.6673826
121,0.26259074,0.47049195
122,0.39991128,0.33347315
123,0.2670957,0.5210221
124,0.28675985,0.4513526
125,0.5654898,0.1647343
126,0.2624373,0.56569767
127,0.34646633,0.39651936
128,0.39627698,0.34465224
129,0.30287334,0.47705567
130,0.34337863,0.37040207
131,0.25214309,0.59215254
132,0.3553154,0.37262654
133,0.26002675,0.50774646
134,0.19598998,0.6203812
135,0.4688282,0.24782714
136,0.35592443,0.3851906
137,0.3821612,0.34878626
138,0.22139968,0.59783643
139,0.18715651,0.63782257
140,0.24628858,0.44877207
141,0.2783584,0.4938577
